SNR, RMSE, NMSE, prob
-12, 8.075288127029912, 0.06813502206428881, 0.3595
-11, 6.900364854479431, -1.2883790836904574, 0.5385
-10, 5.333136718889783, -3.536024732644944, 0.7325
-9, 3.773791480559868, -6.53677095372638, 0.873
-8, 2.820904039711304, -9.055886965699226, 0.934
-7, 2.382242020432615, -10.538913827546416, 0.9535
-6, 1.9883380243899424, -12.09548048491037, 0.9675
-5, 1.5233729222548686, -14.41092010065879, 0.982
-4, 1.1266546963544273, -17.02867350967351, 0.991
-3, 0.7895198137273257, -20.11696657452347, 0.9965
-2, 0.644013057688223, -21.88428305011957, 0.998
-1, 0.5295570921870417, -23.59520138795947, 0.999
0, 0.38288055825038486, -26.395642655705537, 1.0
1, 0.3625686274256258, -26.875671944432153, 1.0
2, 0.3378145293897832, -27.48632265167093, 1.0
3, 0.40357224775291906, -25.94096484868457, 0.9995
4, 0.3250171309525894, -27.831361438518222, 1.0
5, 0.3280862953785756, -27.74398724442211, 1.0
6, 0.3130657044537098, -28.15699151713477, 1.0
7, 0.3121361245103788, -28.182679786256625, 1.0
8, 0.3056055955251988, -28.357660558467455, 1.0
9, 0.3869483200074297, -26.31448827935198, 0.9995
10, 0.30678730800244997, -28.326148248167296, 1.0
11, 0.30331094676394393, -28.427292990187013, 1.0
12, 0.30199516338166327, -28.478454329154886, 1.0
