SNR, RMSE, NMSE, prob
-12, 5.645706524419992, -1.96401127413159, 0.7136363636363636
-11, 5.156500779747681, -2.7512755111549985, 0.764090909090909
-10, 4.818813668169382, -3.339574584552287, 0.7954545454545454
-9, 4.394060200028305, -4.1410572242857695, 0.8286363636363636
-8, 3.9951426297489836, -4.967731491371113, 0.8581818181818182
-7, 3.7434698889553104, -5.53289037422921, 0.875
-6, 3.249243162539688, -6.762732993066707, 0.9054545454545454
-5, 2.987462011656383, -7.492329434017968, 0.9195454545454546
-4, 2.4138229995320795, -9.34426883748747, 0.9481818181818182
-3, 2.0433045828869867, -10.791715076732004, 0.9631818181818181
-2, 1.6353324527026607, -12.726256167998278, 0.9772727272727273
-1, 1.4077797711771343, -14.027682865930952, 0.9836363636363636
0, 0.9444824958327767, -17.49449900433548, 0.9936363636363637
1, 0.7772572402939649, -19.18708172809889, 0.9963636363636363
2, 0.5242819932209788, -22.60707843392519, 0.9990909090909091
3, 0.5611674618919968, -22.016527638578847, 0.9986363636363637
4, 0.5041480575625632, -22.947215301764583, 0.9990909090909091
5, 0.4475682705437905, -23.981191454591183, 0.9995454545454545
6, 0.3906479403802386, -25.162666487331556, 1.0
7, 0.37436004322303246, -25.532587485815455, 1.0
8, 0.3817997374669331, -25.361664765721805, 1.0
9, 0.3787011591613107, -25.432444586812505, 1.0
10, 0.36722109189630664, -25.699824927969658, 1.0
11, 0.3654510926154022, -25.741791976510918, 1.0
12, 0.42274120416956373, -24.47688566226677, 0.9995454545454545
