SNR, RMSE, NMSE, prob
-12, 3.184773436313591, -17.810199100361864, 0.9259090909090909
-11, 1.9422526770443351, -22.10565535027538, 0.9822727272727273
-10, 1.3281258098255202, -25.40698560942331, 0.9977272727272727
-9, 1.0248281603249711, -27.658748930558737, 1.0
-8, 0.8853350863398656, -28.9296164045463, 1.0
-7, 0.7386720221148919, -30.50273692769266, 1.0
-6, 0.632671114214924, -31.84820980099329, 1.0
-5, 0.5726334673712756, -32.71423540438932, 1.0
-4, 0.502810271843147, -33.843687106812325, 1.0
-3, 0.46553976735175545, -34.512634228277086, 1.0
-2, 0.4204975273320501, -35.39650099940295, 1.0
-1, 0.3986340475193956, -35.86028215006118, 1.0
0, 0.3800717505970649, -36.27445809654948, 1.0
1, 0.361813622164203, -36.702071649877126, 1.0
2, 0.3520072436460442, -36.94073792217851, 1.0
3, 0.34614760715243664, -37.0865432582312, 1.0
4, 0.3417867424526702, -37.1966656755727, 1.0
5, 0.3358841773539005, -37.34797902112455, 1.0
6, 0.33015150378921215, -37.497504335549415, 1.0
7, 0.3248775874756617, -37.637374905765284, 1.0
8, 0.32501747768724687, -37.63363561602881, 1.0
9, 0.32206719496268127, -37.712840109055975, 1.0
10, 0.3200852165924115, -37.766457602262044, 1.0
11, 0.31951667940934936, -37.78189925843308, 1.0
12, 0.3173756062465478, -37.840299063502826, 1.0
