SNR, RMSE, NMSE, prob
-12, 6.941470623245836, 7.22729310524429, 0.546
-11, 6.105402117218487, 6.138879896985923, 0.655
-10, 5.122960289116072, 4.6236639715860575, 0.7645
-9, 4.094384294268906, 2.675250873395666, 0.857
-8, 3.226824774833275, 0.5555654580922212, 0.9165
-7, 2.3285968833120307, -2.258820543713341, 0.9635
-6, 1.7900302767609149, -4.516015249296999, 0.983
-5, 1.3422966246933248, -7.053364073455276, 0.994
-4, 1.1587552346935717, -8.311222972705599, 0.9965
-3, 1.033332639256917, -9.289858364432646, 0.9965
-2, 0.768377774227336, -11.89204398383499, 0.9995
-1, 0.7489103954250406, -12.093166054897626, 0.9995
0, 0.6958494452228944, -12.71480213964429, 0.9995
1, 0.5382178751271252, -14.937964723988447, 1.0
2, 0.5643166734644489, -14.5762001879446, 1.0
3, 0.496590233074742, -15.658440585670865, 1.0
4, 0.5153894785781451, -15.349893931522685, 1.0
5, 0.4523087342719376, -16.485647065177357, 1.0
6, 0.4757807041885153, -16.03433723800238, 1.0
7, 0.5226725992308121, -15.187688306146622, 1.0
8, 0.4432555314112429, -16.68432711041643, 1.0
9, 0.4407014704028801, -16.74259894824114, 1.0
10, 0.45491207098897013, -16.413172617840292, 1.0
11, 0.42989432760165014, -16.90423663327475, 1.0
12, 0.4387274481123613, -16.72000694149999, 1.0
