SNR, RMSE, NMSE, prob
-12, 9.858955567049358, -7.995151740710375, 0.03
-11, 9.45393487193003, -8.359517822775683, 0.11272727272727273
-10, 8.392636834643335, -9.39380131825229, 0.3109090909090909
-9, 6.746580099958334, -11.290096308618963, 0.5659090909090909
-8, 5.275683919109979, -13.426194572852639, 0.7395454545454545
-7, 3.448852137350449, -17.118278427087084, 0.8927272727272727
-6, 1.9422000765039722, -22.10589060113407, 0.9686363636363636
-5, 1.0331028527953263, -27.58889871695887, 0.9936363636363637
-4, 0.6565976834145721, -31.525782996467015, 0.9986363636363637
-3, 0.45486978021372243, -34.714028239671, 1.0
-2, 0.41901186719516564, -35.427243474856795, 1.0
-1, 0.4012831388064165, -35.80275169508224, 1.0
0, 0.381498974577049, -36.24190243132215, 1.0
1, 0.3721487122005731, -36.45743951880792, 1.0
2, 0.3561099955390207, -36.84008665160729, 1.0
3, 0.3596170801209995, -36.754963720447805, 1.0
4, 0.3525324132959934, -36.92778884288312, 1.0
5, 0.3402095561903239, -37.236839766619504, 1.0
6, 0.3414699556602892, -37.20471996486668, 1.0
7, 0.338150691435726, -37.289564337601924, 1.0
8, 0.33599424413799817, -37.34513316700398, 1.0
9, 0.33324464459154624, -37.41650635842515, 1.0
10, 0.3338259037358334, -37.40136926535858, 1.0
11, 0.32851626486547086, -37.54063240226047, 1.0
12, 0.33171586872520964, -37.456444976797975, 1.0
