SNR, RMSE, NMSE, prob
-12, 3.987349093895007, -15.858227072412099, 0.8686363636363637
-11, 2.607823457619282, -19.54615818434723, 0.9554545454545454
-10, 1.6813166696055772, -23.35837946531248, 0.9886363636363636
-9, 1.172266550418782, -26.490759297801137, 0.9981818181818182
-8, 0.9052577768979513, -28.735485024527367, 1.0
-7, 0.7592686247046008, -30.26321891718796, 1.0
-6, 0.6387462512219156, -31.76526750725258, 1.0
-5, 0.5590108672655169, -32.922833441585475, 1.0
-4, 0.49811032627350305, -33.925058044168686, 1.0
-3, 0.44975555767629605, -34.81144968911289, 1.0
-2, 0.40591358528628707, -35.70357905571298, 1.0
-1, 0.3851313003538511, -36.159514760550415, 1.0
0, 0.362163743495943, -36.694026975785945, 1.0
1, 0.3443422338438063, -37.131506942863005, 1.0
2, 0.3316279916274498, -37.45875209070132, 1.0
3, 0.32441315557053696, -37.64950995362847, 1.0
4, 0.31500178049060706, -37.90531417603412, 1.0
5, 0.30892080479628914, -38.07471405900244, 1.0
6, 0.3011856782437277, -38.29497586392728, 1.0
7, 0.29658265388058663, -38.42943553941605, 1.0
8, 0.2914110675269386, -38.58191811368609, 1.0
9, 0.28782408870890214, -38.68946094584856, 1.0
10, 0.2847387464448297, -38.782284176647345, 1.0
11, 0.2816933473734037, -38.874438111616584, 1.0
12, 0.2764538958181043, -39.038813359723996, 1.0
