Separation, RMSE, NMSE, prob
2, 10.0, -7.871769934975456, 0.0
4, 9.99772711984016, -7.873744353293148, 0.00045454545454545455
6, 8.991634721824921, -8.794996828683393, 0.1968181818181818
8, 8.507286490565406, -9.275948764132258, 0.30227272727272725
10, 6.81136208404065, -11.207090593131044, 0.555
12, 6.673375761480883, -11.384858350930324, 0.5836363636363636
14, 5.539118601625146, -13.002956643522607, 0.7186363636363636
16, 4.2872128798157965, -15.228268950953073, 0.8254545454545454
18, 0.5177344971934821, -33.58962784616175, 1.0
20, 0.273081844181601, -39.145913385986034, 1.0
